epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.7401,3.2153,2.77829,3.75372,0.55907,0.50102,0.48567,0.24626,2.02395,1.80672,2.71847,0.00332956,0.00332956,0.00332956
2,152.128,1.48578,1.24408,1.97922,0.82405,0.71252,0.78996,0.55777,1.14051,1.03903,1.74315,0.00659693,0.00659693,0.00659693
3,222.764,1.13753,0.95851,1.59533,0.83815,0.74539,0.81887,0.61529,0.9354,0.88942,1.49814,0.0097983,0.0097983,0.0097983
4,294.382,0.98562,0.82914,1.4472,0.87132,0.77702,0.85626,0.67049,0.82079,0.72601,1.36919,0.009703,0.009703,0.009703
5,362.321,0.88977,0.73609,1.35606,0.89485,0.80105,0.87994,0.70455,0.76317,0.64461,1.31326,0.009604,0.009604,0.009604
6,432.709,0.83406,0.67867,1.30776,0.89825,0.80491,0.88771,0.71959,0.72336,0.60689,1.26774,0.009505,0.009505,0.009505
7,503.204,0.80088,0.6404,1.27457,0.90723,0.81702,0.89632,0.73431,0.68958,0.56614,1.23242,0.009406,0.009406,0.009406
8,573.782,0.77335,0.61263,1.24859,0.91056,0.81411,0.89854,0.74471,0.66521,0.55109,1.21038,0.009307,0.009307,0.009307
9,643.229,0.75564,0.59356,1.23183,0.91106,0.83069,0.90657,0.75191,0.65164,0.5297,1.18789,0.009208,0.009208,0.009208
10,713.543,0.73608,0.57282,1.21331,0.91427,0.83687,0.91188,0.76424,0.63753,0.50447,1.16971,0.009109,0.009109,0.009109
11,782.461,0.72453,0.55585,1.19853,0.9152,0.84388,0.91675,0.76908,0.6309,0.49503,1.15983,0.00901,0.00901,0.00901
12,853.185,0.71353,0.54727,1.18961,0.92265,0.84172,0.91939,0.77447,0.62284,0.48772,1.14918,0.008911,0.008911,0.008911
13,923.413,0.7025,0.53753,1.18033,0.92245,0.84891,0.9236,0.78142,0.6089,0.46786,1.14191,0.008812,0.008812,0.008812
14,992.514,0.69239,0.52703,1.17002,0.92182,0.85436,0.92562,0.78601,0.60056,0.46309,1.13267,0.008713,0.008713,0.008713
15,1063.6,0.68648,0.51772,1.16204,0.92443,0.861,0.92857,0.79179,0.59108,0.44534,1.11713,0.008614,0.008614,0.008614
16,1132.43,0.6769,0.50817,1.15527,0.92178,0.85983,0.92922,0.7949,0.58506,0.44327,1.11379,0.008515,0.008515,0.008515
17,1201.53,0.67136,0.50329,1.15084,0.92666,0.86363,0.93187,0.79764,0.58212,0.43469,1.10668,0.008416,0.008416,0.008416
18,1270.74,0.66039,0.48951,1.14126,0.93001,0.8617,0.93144,0.80049,0.57371,0.42694,1.09989,0.008317,0.008317,0.008317
19,1339.59,0.66206,0.49035,1.13947,0.92475,0.86903,0.93456,0.80448,0.56922,0.42266,1.09469,0.008218,0.008218,0.008218
20,1410.14,0.6583,0.48748,1.13628,0.93118,0.86857,0.93465,0.80692,0.56212,0.41683,1.08599,0.008119,0.008119,0.008119
21,1480.66,0.65239,0.4799,1.13036,0.93284,0.8708,0.9375,0.80836,0.56242,0.41179,1.08961,0.00802,0.00802,0.00802
22,1549.47,0.64869,0.47534,1.12783,0.93537,0.87342,0.93867,0.81261,0.55421,0.40541,1.08014,0.007921,0.007921,0.007921
23,1619.81,0.64533,0.47173,1.12311,0.93214,0.87575,0.93795,0.81249,0.55572,0.39931,1.07976,0.007822,0.007822,0.007822
