epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.757,0.75191,1.15212,1.05244,0.89953,0.83658,0.91241,0.77071,0.57882,0.6296,0.90332,0.00332956,0.00332956,0.00332956
2,193.498,0.67447,0.64468,0.97841,0.91587,0.85032,0.91769,0.77448,0.58002,0.55932,0.90446,0.00653097,0.00653097,0.00653097
3,290.293,0.70292,0.6222,0.98767,0.90871,0.84643,0.91691,0.76671,0.60697,0.56075,0.91371,0.00960038,0.00960038,0.00960038
4,386.405,0.70109,0.60052,0.99419,0.91666,0.84093,0.91587,0.77555,0.59019,0.51291,0.91846,0.009406,0.009406,0.009406
5,482.126,0.67272,0.55582,0.98317,0.92246,0.8614,0.92619,0.78931,0.57534,0.46944,0.91547,0.009208,0.009208,0.009208
6,578.3,0.65092,0.52701,0.97525,0.9297,0.86575,0.93247,0.79916,0.56404,0.45434,0.90763,0.00901,0.00901,0.00901
7,673.282,0.6382,0.50562,0.96897,0.92761,0.86865,0.9357,0.80108,0.5563,0.4342,0.90364,0.008812,0.008812,0.008812
8,767.575,0.62631,0.49049,0.96351,0.9278,0.86916,0.93709,0.81041,0.54386,0.43225,0.89727,0.008614,0.008614,0.008614
9,860.481,0.61826,0.47784,0.96107,0.93301,0.87466,0.93886,0.81196,0.53541,0.40768,0.88662,0.008416,0.008416,0.008416
10,954.244,0.61115,0.46948,0.95704,0.93116,0.85981,0.93419,0.81025,0.53894,0.42858,0.90468,0.008218,0.008218,0.008218
11,1047.07,0.60445,0.45732,0.95306,0.93938,0.88158,0.94651,0.82786,0.51889,0.38527,0.88554,0.00802,0.00802,0.00802
12,1140.59,0.59805,0.45173,0.95111,0.93534,0.88587,0.94787,0.83079,0.51501,0.38047,0.88221,0.007822,0.007822,0.007822
13,1235.06,0.5919,0.44495,0.94767,0.93886,0.8858,0.94907,0.83242,0.50973,0.37596,0.88119,0.007624,0.007624,0.007624
14,1329.36,0.58577,0.43766,0.94345,0.93714,0.89052,0.94883,0.83456,0.5072,0.37103,0.8731,0.007426,0.007426,0.007426
15,1422.69,0.58297,0.42971,0.94208,0.9372,0.8935,0.95026,0.8373,0.50006,0.36219,0.87215,0.007228,0.007228,0.007228
16,1515.7,0.57679,0.42333,0.94113,0.94071,0.89165,0.95243,0.83983,0.4997,0.35578,0.87256,0.00703,0.00703,0.00703
17,1610,0.57313,0.4201,0.93907,0.94291,0.89002,0.953,0.84238,0.4943,0.35049,0.86669,0.006832,0.006832,0.006832
18,1703.72,0.5658,0.41045,0.93477,0.94082,0.89347,0.95374,0.84392,0.4919,0.34786,0.8687,0.006634,0.006634,0.006634
19,1797.32,0.56772,0.41053,0.93473,0.94142,0.89795,0.95583,0.84863,0.48656,0.33977,0.85978,0.006436,0.006436,0.006436
20,1892.1,0.56495,0.40678,0.93483,0.94016,0.90005,0.95659,0.85026,0.48447,0.34196,0.86486,0.006238,0.006238,0.006238
21,1985.91,0.56011,0.40132,0.92995,0.94306,0.89834,0.95763,0.8511,0.48496,0.33547,0.86079,0.00604,0.00604,0.00604
22,2078.35,0.55824,0.39807,0.93112,0.94359,0.89727,0.95555,0.85069,0.48294,0.33624,0.8643,0.005842,0.005842,0.005842
23,2172.22,0.55441,0.39439,0.92963,0.94298,0.90136,0.95686,0.85222,0.48062,0.32869,0.8613,0.005644,0.005644,0.005644
24,2267.57,0.55146,0.39087,0.92745,0.94247,0.90397,0.95892,0.85578,0.4761,0.32654,0.85892,0.005446,0.005446,0.005446
25,2359.98,0.55144,0.38764,0.92746,0.94683,0.90171,0.95836,0.85465,0.47503,0.32246,0.85498,0.005248,0.005248,0.005248
26,2454.01,0.54799,0.38486,0.92509,0.94644,0.90459,0.95915,0.85683,0.472,0.32205,0.85557,0.00505,0.00505,0.00505
27,2549.29,0.54479,0.38154,0.924,0.94831,0.90391,0.95943,0.85858,0.46885,0.31861,0.85679,0.004852,0.004852,0.004852
28,2644.51,0.5395,0.3774,0.92173,0.94624,0.90496,0.95989,0.85901,0.46906,0.31551,0.85411,0.004654,0.004654,0.004654
29,2738.91,0.5394,0.37636,0.92128,0.94778,0.90679,0.96141,0.86037,0.46873,0.31355,0.85558,0.004456,0.004456,0.004456
30,2834.25,0.5384,0.37212,0.92049,0.94529,0.90741,0.96177,0.86041,0.46894,0.31142,0.85189,0.004258,0.004258,0.004258
31,2928.65,0.53324,0.37078,0.9187,0.94488,0.90791,0.96121,0.86162,0.46726,0.31178,0.8553,0.00406,0.00406,0.00406
32,3022.38,0.5343,0.36778,0.91879,0.94413,0.91003,0.96171,0.8626,0.46485,0.30838,0.84985,0.003862,0.003862,0.003862
33,3117.56,0.53107,0.36213,0.91651,0.94807,0.90889,0.96184,0.86339,0.46365,0.30569,0.84751,0.003664,0.003664,0.003664
34,3211.6,0.53054,0.36211,0.91535,0.94605,0.91134,0.96278,0.8654,0.46215,0.30418,0.84749,0.003466,0.003466,0.003466
35,3305.58,0.52614,0.35952,0.9142,0.94582,0.90981,0.96225,0.86503,0.4618,0.30388,0.84946,0.003268,0.003268,0.003268
36,3398.89,0.52669,0.35724,0.91412,0.9424,0.91485,0.96323,0.86643,0.46079,0.30339,0.84645,0.00307,0.00307,0.00307
37,3491.91,0.5203,0.351,0.91147,0.9473,0.9122,0.96248,0.86661,0.45894,0.30069,0.84574,0.002872,0.002872,0.002872
38,3583.24,0.51903,0.35163,0.91133,0.94986,0.90957,0.96364,0.86757,0.45852,0.29949,0.84833,0.002674,0.002674,0.002674
39,3675.93,0.51908,0.3481,0.91058,0.94596,0.91444,0.96373,0.86825,0.45806,0.29823,0.84625,0.002476,0.002476,0.002476
40,3764.22,0.5154,0.34426,0.9101,0.94397,0.91705,0.96416,0.86912,0.45809,0.29717,0.846,0.002278,0.002278,0.002278
41,3836.04,0.48685,0.31592,0.88768,0.94797,0.91116,0.96336,0.86812,0.45756,0.29809,0.84815,0.00208,0.00208,0.00208
42,3904.63,0.48228,0.30614,0.88196,0.94806,0.9119,0.96342,0.86804,0.45763,0.29713,0.84507,0.001882,0.001882,0.001882
43,3973.95,0.47765,0.30269,0.88095,0.94515,0.91478,0.96368,0.8695,0.45713,0.29517,0.84442,0.001684,0.001684,0.001684
44,4042.14,0.47651,0.30053,0.8818,0.949,0.91184,0.96414,0.86957,0.45719,0.29507,0.84637,0.001486,0.001486,0.001486
45,4109.65,0.47449,0.2974,0.87818,0.94623,0.91521,0.96434,0.86992,0.45692,0.29412,0.84534,0.001288,0.001288,0.001288
46,4177.41,0.4698,0.2914,0.8767,0.94475,0.9156,0.96423,0.87081,0.45574,0.29236,0.84281,0.00109,0.00109,0.00109
47,4245.26,0.46855,0.28923,0.87458,0.94576,0.91593,0.96444,0.87122,0.45489,0.29113,0.8408,0.000892,0.000892,0.000892
48,4314.72,0.46361,0.2857,0.87241,0.94608,0.91487,0.96417,0.87161,0.45416,0.29101,0.83988,0.000694,0.000694,0.000694
49,4383.12,0.46157,0.28259,0.87239,0.94534,0.91508,0.96435,0.87185,0.45423,0.29059,0.83969,0.000496,0.000496,0.000496
50,4453.49,0.46028,0.28041,0.87238,0.94504,0.9157,0.96458,0.8719,0.45396,0.29005,0.84063,0.000298,0.000298,0.000298
