epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1493,0.74027,1.2335,1.07659,0.85473,0.72866,0.81535,0.63621,0.82376,1.06779,1.03842,0.0006629,0.0006629,0.0006629
2,61.7508,0.65621,0.68588,1.00664,0.83217,0.72853,0.80872,0.62862,0.81751,0.84347,1.03779,0.00130324,0.00130324,0.00130324
3,89.0329,0.64523,0.64364,1.0008,0.83745,0.74997,0.82621,0.64319,0.77645,0.84667,1.06039,0.00191718,0.00191718,0.00191718
4,116.758,0.62796,0.59631,0.9944,0.80697,0.65431,0.73325,0.57489,0.83933,1.02147,1.08619,0.0018812,0.0018812,0.0018812
5,142.848,0.60308,0.55269,0.97801,0.87458,0.74451,0.83438,0.67021,0.74439,0.73343,1.00992,0.0018416,0.0018416,0.0018416
6,170.932,0.58838,0.52597,0.97558,0.87753,0.79105,0.87264,0.70555,0.69821,0.64101,1.00413,0.001802,0.001802,0.001802
7,196.939,0.57627,0.50747,0.9668,0.85506,0.75922,0.84287,0.67579,0.72648,0.67963,0.99995,0.0017624,0.0017624,0.0017624
8,224.591,0.57308,0.50117,0.9683,0.88131,0.77791,0.86502,0.71064,0.68792,0.6368,0.99007,0.0017228,0.0017228,0.0017228
9,251.415,0.56219,0.48257,0.96277,0.87365,0.79847,0.87182,0.70907,0.68792,0.60433,0.9888,0.0016832,0.0016832,0.0016832
10,278.337,0.55129,0.46841,0.95606,0.88123,0.7562,0.85318,0.69948,0.68765,0.6578,0.98614,0.0016436,0.0016436,0.0016436
11,304.611,0.54734,0.46438,0.95337,0.87779,0.79728,0.87032,0.72144,0.65573,0.60218,0.97015,0.001604,0.001604,0.001604
12,330.856,0.5378,0.45193,0.94712,0.90116,0.77851,0.8718,0.72843,0.65425,0.6017,0.96567,0.0015644,0.0015644,0.0015644
13,358.844,0.53004,0.44224,0.94582,0.87819,0.7975,0.87657,0.71997,0.66949,0.5813,0.97698,0.0015248,0.0015248,0.0015248
14,385.426,0.52046,0.42887,0.93763,0.89099,0.82233,0.89236,0.73991,0.64457,0.54184,0.96677,0.0014852,0.0014852,0.0014852
15,412.2,0.5153,0.41982,0.93838,0.88041,0.77913,0.86648,0.71692,0.65875,0.60426,0.97792,0.0014456,0.0014456,0.0014456
16,440.453,0.50591,0.41155,0.93381,0.9081,0.81588,0.89212,0.74663,0.63635,0.52818,0.96541,0.001406,0.001406,0.001406
17,466.954,0.51519,0.41938,0.93904,0.90404,0.81126,0.89055,0.74839,0.63221,0.53005,0.95037,0.0013664,0.0013664,0.0013664
18,492.78,0.5052,0.40691,0.93203,0.8963,0.78158,0.87409,0.73477,0.63481,0.57367,0.95419,0.0013268,0.0013268,0.0013268
19,520.855,0.49713,0.39433,0.92795,0.90501,0.79469,0.8844,0.74305,0.62968,0.54282,0.96193,0.0012872,0.0012872,0.0012872
20,548.739,0.49857,0.39855,0.92794,0.90443,0.80984,0.89106,0.75247,0.61828,0.51795,0.95203,0.0012476,0.0012476,0.0012476
21,576.628,0.48872,0.38449,0.924,0.90185,0.82029,0.89929,0.76619,0.60103,0.50595,0.92841,0.001208,0.001208,0.001208
22,603.241,0.48877,0.3864,0.92373,0.89908,0.82842,0.8994,0.76356,0.60471,0.49908,0.93512,0.0011684,0.0011684,0.0011684
23,630.655,0.48069,0.37221,0.91837,0.89572,0.824,0.89895,0.76367,0.60423,0.49916,0.94111,0.0011288,0.0011288,0.0011288
24,658.358,0.48379,0.37907,0.92057,0.90758,0.83432,0.90898,0.77406,0.59185,0.47514,0.92923,0.0010892,0.0010892,0.0010892
25,686.789,0.47301,0.36943,0.91633,0.90522,0.82652,0.90115,0.76594,0.60945,0.4888,0.9475,0.0010496,0.0010496,0.0010496
26,714.836,0.47051,0.36152,0.91564,0.90965,0.82367,0.89986,0.7685,0.59492,0.48871,0.94783,0.00101,0.00101,0.00101
27,743.477,0.4765,0.36773,0.91828,0.91259,0.82477,0.90394,0.77633,0.58121,0.48446,0.92462,0.0009704,0.0009704,0.0009704
28,771.593,0.46838,0.36099,0.91663,0.909,0.81889,0.89791,0.7686,0.58736,0.48343,0.93707,0.0009308,0.0009308,0.0009308
29,799.543,0.46235,0.35369,0.90931,0.91368,0.8188,0.89737,0.77057,0.59063,0.49223,0.93439,0.0008912,0.0008912,0.0008912
30,827.774,0.46073,0.34752,0.91086,0.91706,0.83301,0.9098,0.77649,0.5849,0.45839,0.92833,0.0008516,0.0008516,0.0008516
31,854.926,0.46185,0.34656,0.90913,0.9076,0.83409,0.9072,0.77837,0.57597,0.46548,0.92865,0.000812,0.000812,0.000812
32,881.88,0.45528,0.34189,0.90687,0.91097,0.83145,0.90588,0.78133,0.57456,0.46574,0.91765,0.0007724,0.0007724,0.0007724
33,909.636,0.45211,0.33838,0.9063,0.91244,0.82963,0.90467,0.77786,0.58189,0.47892,0.92791,0.0007328,0.0007328,0.0007328
34,934.675,0.44618,0.33342,0.90363,0.92269,0.82953,0.91009,0.78294,0.57695,0.45242,0.92484,0.0006932,0.0006932,0.0006932
35,962.303,0.44908,0.33297,0.90617,0.91402,0.84057,0.91418,0.78652,0.57302,0.44556,0.91634,0.0006536,0.0006536,0.0006536
36,991.115,0.44591,0.32849,0.90309,0.92141,0.84051,0.91624,0.79175,0.56518,0.43939,0.91882,0.000614,0.000614,0.000614
37,1018.98,0.43472,0.31832,0.89757,0.91849,0.83677,0.91059,0.78852,0.5658,0.44442,0.9144,0.0005744,0.0005744,0.0005744
38,1045.42,0.44106,0.32288,0.90306,0.91906,0.8296,0.90656,0.786,0.56535,0.46117,0.91971,0.0005348,0.0005348,0.0005348
39,1072.55,0.43701,0.31714,0.89561,0.9198,0.83114,0.90723,0.78561,0.56356,0.45749,0.91467,0.0004952,0.0004952,0.0004952
40,1101.16,0.43513,0.31439,0.89888,0.92158,0.84406,0.91372,0.79097,0.56294,0.43642,0.91724,0.0004556,0.0004556,0.0004556
41,1128.13,0.40736,0.28826,0.87188,0.91096,0.82934,0.90631,0.77844,0.57548,0.46097,0.92512,0.000416,0.000416,0.000416
