epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.1941,3.43156,3.14854,4.10528,0.04808,0.18851,0.02953,0.00816,3.14115,2.99679,4.03813,0.00332579,0.00332579,0.00332579
2,132.67,2.16487,1.90952,2.69238,0.73808,0.62221,0.68691,0.4459,1.46408,1.52954,2.02778,0.0065932,0.0065932,0.0065932
3,192.369,1.26255,1.13495,1.75699,0.7956,0.69008,0.75975,0.53506,1.16182,1.13707,1.68346,0.00979461,0.00979461,0.00979461
4,253.47,1.04676,0.93419,1.52697,0.82521,0.73536,0.80197,0.58216,0.99062,0.91475,1.51595,0.009703,0.009703,0.009703
5,313.388,0.92568,0.81326,1.41243,0.8579,0.74743,0.82306,0.62305,0.90744,0.80182,1.43337,0.009604,0.009604,0.009604
6,373.117,0.84875,0.73123,1.34419,0.85617,0.76099,0.83652,0.64245,0.84402,0.75563,1.36542,0.009505,0.009505,0.009505
7,431.599,0.80597,0.69119,1.30343,0.88125,0.77311,0.85664,0.67373,0.81186,0.68499,1.31629,0.009406,0.009406,0.009406
8,490.666,0.77555,0.6508,1.27495,0.87912,0.77419,0.85393,0.67524,0.79374,0.6702,1.30745,0.009307,0.009307,0.009307
9,551.413,0.74959,0.62539,1.25385,0.88152,0.78869,0.86497,0.6943,0.75683,0.63025,1.28282,0.009208,0.009208,0.009208
10,611.054,0.71979,0.59504,1.22986,0.87942,0.79207,0.86859,0.69506,0.75664,0.62857,1.26334,0.009109,0.009109,0.009109
11,669.949,0.70682,0.58125,1.21391,0.89008,0.79987,0.87564,0.70331,0.73327,0.60494,1.25251,0.00901,0.00901,0.00901
12,721.619,0.69112,0.56467,1.20032,0.89328,0.79786,0.8785,0.71637,0.71086,0.59128,1.22563,0.008911,0.008911,0.008911
13,772.672,0.67977,0.55061,1.18922,0.89313,0.79616,0.87939,0.71697,0.71294,0.57877,1.22545,0.008812,0.008812,0.008812
14,825.233,0.67317,0.54476,1.18532,0.90213,0.80872,0.88599,0.72588,0.69649,0.56264,1.20598,0.008713,0.008713,0.008713
15,877.262,0.6582,0.52827,1.17025,0.89152,0.82039,0.89172,0.72818,0.6948,0.54825,1.2105,0.008614,0.008614,0.008614
16,930.595,0.65277,0.51962,1.16113,0.90084,0.81405,0.8914,0.73156,0.6818,0.5428,1.19657,0.008515,0.008515,0.008515
17,984.784,0.64316,0.51079,1.15577,0.90865,0.8186,0.89311,0.73798,0.6734,0.52891,1.1898,0.008416,0.008416,0.008416
18,1043.06,0.63227,0.50251,1.14632,0.90283,0.8195,0.89482,0.73931,0.66854,0.52714,1.18623,0.008317,0.008317,0.008317
19,1097.91,0.62196,0.49163,1.13742,0.90725,0.82485,0.89966,0.74981,0.6566,0.51498,1.17008,0.008218,0.008218,0.008218
20,1154.3,0.6221,0.48815,1.13638,0.90252,0.82164,0.89714,0.74496,0.65635,0.51617,1.17098,0.008119,0.008119,0.008119
21,1207.31,0.61426,0.48131,1.12955,0.90407,0.82731,0.89835,0.74277,0.65653,0.51196,1.16851,0.00802,0.00802,0.00802
22,1262.83,0.60923,0.47688,1.12434,0.91445,0.83468,0.90567,0.75759,0.64137,0.48803,1.15539,0.007921,0.007921,0.007921
23,1318.92,0.6075,0.47383,1.12356,0.904,0.83178,0.90424,0.75563,0.64148,0.49206,1.15828,0.007822,0.007822,0.007822
24,1376.64,0.60077,0.46637,1.11757,0.91086,0.8279,0.90072,0.75422,0.6388,0.49426,1.15271,0.007723,0.007723,0.007723
25,1430.97,0.59609,0.46413,1.11106,0.90885,0.83854,0.90702,0.75792,0.63072,0.48711,1.14575,0.007624,0.007624,0.007624
26,1486.01,0.58784,0.45577,1.10688,0.91242,0.83504,0.90641,0.76197,0.6276,0.48281,1.14003,0.007525,0.007525,0.007525
27,1538.4,0.59094,0.45626,1.10887,0.91452,0.83564,0.90727,0.76416,0.62226,0.4791,1.13577,0.007426,0.007426,0.007426
28,1589.85,0.58108,0.45053,1.10012,0.91738,0.83543,0.90955,0.76891,0.61301,0.47327,1.12484,0.007327,0.007327,0.007327
29,1640.91,0.58154,0.45052,1.10097,0.91519,0.83962,0.91219,0.77311,0.60873,0.46609,1.12278,0.007228,0.007228,0.007228
30,1691.76,0.57299,0.43869,1.09407,0.91748,0.8428,0.91311,0.77371,0.61209,0.45926,1.12615,0.007129,0.007129,0.007129
31,1742.35,0.57235,0.43838,1.09214,0.91986,0.84424,0.91355,0.77462,0.60538,0.45733,1.11995,0.00703,0.00703,0.00703
32,1793.15,0.56698,0.43468,1.08907,0.91222,0.84544,0.91102,0.77195,0.60605,0.45924,1.12593,0.006931,0.006931,0.006931
33,1844.03,0.56687,0.43072,1.08726,0.91745,0.84551,0.91334,0.7756,0.60648,0.45214,1.12085,0.006832,0.006832,0.006832
34,1893.66,0.56331,0.42816,1.08533,0.91738,0.84953,0.91676,0.77851,0.59965,0.44945,1.11038,0.006733,0.006733,0.006733
35,1943.97,0.56059,0.4263,1.08208,0.91865,0.85207,0.91712,0.78076,0.59223,0.44123,1.10937,0.006634,0.006634,0.006634
36,1993.85,0.55431,0.41934,1.07716,0.92216,0.84975,0.91877,0.78469,0.59022,0.43708,1.10242,0.006535,0.006535,0.006535
37,2044.32,0.5534,0.41962,1.07614,0.91765,0.85413,0.91843,0.78453,0.58733,0.4381,1.10062,0.006436,0.006436,0.006436
38,2095.03,0.55361,0.41821,1.0747,0.92086,0.85292,0.92054,0.78533,0.58976,0.4366,1.09821,0.006337,0.006337,0.006337
39,2145.04,0.55257,0.41475,1.07126,0.92203,0.85423,0.92229,0.78813,0.58428,0.43214,1.09742,0.006238,0.006238,0.006238
40,2195.32,0.54412,0.40952,1.06666,0.91912,0.85243,0.91824,0.78716,0.58135,0.43319,1.09628,0.006139,0.006139,0.006139
41,2245.89,0.54354,0.4063,1.06635,0.91748,0.85236,0.91836,0.78626,0.58267,0.43476,1.09873,0.00604,0.00604,0.00604
42,2296.81,0.5404,0.40387,1.06225,0.92608,0.85639,0.92498,0.79469,0.57496,0.41974,1.08831,0.005941,0.005941,0.005941
43,2347.36,0.53858,0.40131,1.06244,0.92461,0.85456,0.92384,0.79187,0.57515,0.42153,1.08787,0.005842,0.005842,0.005842
44,2398.28,0.54136,0.40383,1.06518,0.92296,0.85731,0.92386,0.79275,0.57428,0.41694,1.08723,0.005743,0.005743,0.005743
45,2448.36,0.532,0.39583,1.05564,0.92515,0.85579,0.92464,0.79493,0.57129,0.41787,1.08444,0.005644,0.005644,0.005644
46,2499.36,0.5386,0.39866,1.06081,0.9302,0.85638,0.92604,0.79698,0.56916,0.41252,1.08346,0.005545,0.005545,0.005545
47,2549.96,0.53385,0.39694,1.05608,0.92485,0.85892,0.92496,0.79517,0.57046,0.41149,1.08424,0.005446,0.005446,0.005446
48,2600.48,0.53159,0.3915,1.05341,0.92629,0.85936,0.92488,0.79761,0.56477,0.40727,1.07959,0.005347,0.005347,0.005347
49,2649.92,0.52825,0.38834,1.05208,0.92724,0.85643,0.9258,0.79899,0.56642,0.40773,1.08161,0.005248,0.005248,0.005248
